,start,stop,strand,gene_name,length,operon,cog
b0041,42402,43173,+,fixA,771,fixABCX,Energy production and conversion
b0042,43187,44129,+,fixB,942,fixABCX,Energy production and conversion
b0043,44179,45466,+,fixC,1287,fixABCX,Energy production and conversion
b0044,45462,45750,+,fixX,288,fixABCX,Energy production and conversion
b0045,45806,47138,+,yaaU,1332,yaaU,Carbohydrate transport and metabolism
b0046,47245,47776,+,kefF,531,kefFC,Function unknown
b0047,47768,49631,+,kefC,1863,kefFC,Inorganic ion transport and metabolism
b0048,49822,50302,+,folA,480,folA,Coenzyme transport and metabolism
b0049,50379,51222,-,apaH,843,lptD-surA-pdxA-rsmA-apaGH,Signal transduction mechanisms
b0050,51228,51606,-,apaG,378,lptD-surA-pdxA-rsmA-apaGH,Inorganic ion transport and metabolism
b0051,51608,52430,-,rsmA,822,lptD-surA-pdxA-rsmA-apaGH,"Translation, ribosomal structure and biogenesis"
b0052,52426,53416,-,pdxA,990,lptD-surA-pdxA-rsmA-apaGH,Coenzyme transport and metabolism
b0053,53415,54702,-,surA,1287,lptD-surA-pdxA-rsmA-apaGH,"Posttranslational modification, protein turnover, chaperones"
b0054,54754,57109,-,lptD,2355,lptD-surA-pdxA-rsmA-apaGH,Cell wall/membrane/envelope biogenesis
b0055,57363,58179,+,djlA,816,djlA,"Posttranslational modification, protein turnover, chaperones"
b4659_1,58473,59052,+,yabP_1,579,yabPQ,No COG Annotation
b4659_2,59051,59279,+,yabP_2,228,yabPQ,No COG Annotation
b0058,59686,60346,-,rluA,660,rapA-rluA,"Translation, ribosomal structure and biogenesis"
b0059,60357,63264,-,rapA,2907,rapA-rluA,"Replication, recombination and repair"
b0060,63428,65780,-,polB,2352,polB,"Replication, recombination and repair"
b0061,65854,66550,-,araD,696,araBAD,Carbohydrate transport and metabolism
b0062,66834,68337,-,araA,1503,araBAD,Carbohydrate transport and metabolism
b0063,68347,70048,-,araB,1701,araBAD,Carbohydrate transport and metabolism
b0064,70386,71265,+,araC,879,araC,Transcription
b0065,71350,72115,+,yabI,765,yabI,Function unknown
b0066,72228,72927,-,thiQ,699,sgrR-sroA-tbpA-thiPQ,Coenzyme transport and metabolism
b0067,72910,74521,-,thiP,1611,sgrR-sroA-tbpA-thiPQ,Inorganic ion transport and metabolism
b0068,74496,75480,-,thiB,984,sgrR-sroA-tbpA-thiPQ,Coenzyme transport and metabolism
b0069,75643,77299,-,sgrR,1656,sgrR-sroA-tbpA-thiPQ,Function unknown
b4662,77387,77519,+,sgrT,132,sgrST-setA,No COG Annotation
b0070,77620,78799,+,setA,1179,sgrST-setA,Carbohydrate transport and metabolism
b0071,78847,79453,-,leuD,606,leuLABCD,Amino acid transport and metabolism
b0072,79463,80864,-,leuC,1401,leuLABCD,Amino acid transport and metabolism
b0073,80866,81958,-,leuB,1092,leuLABCD,Amino acid transport and metabolism
b0074,81957,83529,-,leuA,1572,leuLABCD,Amino acid transport and metabolism
b0075,83621,83708,-,leuL,87,leuLABCD,No COG Annotation
b0076,84367,85312,+,leuO,945,leuO,Transcription
b0077,85629,87354,+,ilvI,1725,ilvIH,Amino acid transport and metabolism
b0078,87356,87848,+,ilvH,492,ilvIH,Amino acid transport and metabolism
b0080,88027,89032,+,cra,1005,cra,Transcription
b0081,89633,90092,+,mraZ,459,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Function unknown
b0082,90093,91035,+,rsmH,942,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0083,91031,91397,+,ftsL,366,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Cell cycle control, cell division, chromosome partitioning"
b0084,91412,93179,+,ftsI,1767,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0085,93165,94653,+,murE,1488,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0086,94649,96008,+,murF,1359,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0087,96001,97084,+,mraY,1083,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0088,97086,98403,+,murD,1317,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0089,98402,99647,+,ftsW,1245,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Cell cycle control, cell division, chromosome partitioning"
b0090,99643,100711,+,murG,1068,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0091,100764,102240,+,murC,1476,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0092,102232,103153,+,ddlB,921,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0093,103154,103985,+,ftsQ,831,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0094,103981,105244,+,ftsA,1263,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Cell cycle control, cell division, chromosome partitioning"
b0095,105304,106456,+,ftsZ,1152,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Cell cycle control, cell division, chromosome partitioning"
b0096,106556,107474,+,lpxC,918,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis
b0097,107704,108217,+,secM,513,secMA-mutT,Transcription
b0098,108278,110984,+,secA,2706,secMA-mutT,"Intracellular trafficking, secretion, and vesicular transport"
b0099,111043,111433,+,mutT,390,secMA-mutT,"Replication, recombination and repair"
b0101,111648,111846,-,yacG,198,coaE-zapD-yacG,Function unknown
b0102,111855,112599,-,zapD,744,coaE-zapD-yacG,Function unknown
b0103,112598,113219,-,coaE,621,coaE-zapD-yacG,Coenzyme transport and metabolism
b0104,113443,114487,+,guaC,1044,guaC,Nucleotide transport and metabolism
b0106,114521,115724,-,hofC,1203,ppdD-hofBC,"Intracellular trafficking, secretion, and vesicular transport"
b0107,115713,117099,-,hofB,1386,ppdD-hofBC,"Intracellular trafficking, secretion, and vesicular transport"
b0108,117108,117549,-,ppdD,441,ppdD-hofBC,"Intracellular trafficking, secretion, and vesicular transport"
b0109,117751,118645,-,nadC,894,nadC,Coenzyme transport and metabolism
b0110,118732,119284,+,ampD,552,ampDE,Cell wall/membrane/envelope biogenesis
b0111,119280,120135,+,ampE,855,ampDE,Defense mechanisms
b0112,120177,121551,-,aroP,1374,aroP,Amino acid transport and metabolism
b0113,122091,122856,+,pdhR,765,pdhR-aceEF-lpd,Transcription
b0114,123016,125680,+,aceE,2664,pdhR-aceEF-lpd,Energy production and conversion
b0115,125694,127587,+,aceF,1893,pdhR-aceEF-lpd,Energy production and conversion
b0116,127911,129336,+,lpd,1425,pdhR-aceEF-lpd,Energy production and conversion
b0117,129406,131260,-,yacH,1854,yacH,Function unknown
b0118,131614,134212,+,acnB,2598,acnB,Energy production and conversion
b0119,134387,134750,+,yacL,363,yacL,Function unknown
b0120,134787,135582,-,speD,795,yacC-speED,Amino acid transport and metabolism
b0121,135597,136464,-,speE,867,yacC-speED,Amino acid transport and metabolism
b0122,136569,136917,-,yacC,348,yacC-speED,Function unknown
b0123,137082,138633,+,cueO,1551,cueO,"Secondary metabolites biosynthesis, transport and catabolism"
b0124,138834,141225,-,gcd,2391,gcd,Carbohydrate transport and metabolism
b0125,141430,141967,+,hpt,537,hpt,Nucleotide transport and metabolism
b0126,142007,142670,-,can,663,can,Inorganic ion transport and metabolism
b0127,142778,143705,+,yadG,927,yadGH,Defense mechanisms
b0128,143701,144472,+,yadH,771,yadGH,Defense mechanisms
b0129,144576,145017,+,yadI,441,yadI,Carbohydrate transport and metabolism
b0130,145080,146310,+,yadE,1230,yadE,Carbohydrate transport and metabolism
b0131,146313,146694,-,panD,381,panD,Coenzyme transport and metabolism
b0132,146967,147870,+,yadD,903,rpnC,Function unknown
b0133,147943,148795,-,panC,852,panBC,Coenzyme transport and metabolism
b0134,148806,149601,-,panB,795,panBC,Coenzyme transport and metabolism
b0135,149714,150953,-,yadC,1239,yadMLKC,"Intracellular trafficking, secretion, and vesicular transport"
b0136,151002,151599,-,yadK,597,yadMLKC,Function unknown
b0137,151625,152231,-,yadL,606,yadMLKC,Function unknown
b0138,152242,152812,-,yadM,570,yadMLKC,Function unknown
b0139,152828,155426,-,htrE,2598,yadV-htrE,Cell wall/membrane/envelope biogenesis
b0140,155460,156201,-,yadV,741,yadV-htrE,"Posttranslational modification, protein turnover, chaperones"
b0141,156298,156883,-,yadN,585,yadN,No COG Annotation
b0142,157252,157732,-,folK,480,pcnB-folK,Coenzyme transport and metabolism
b0143,157728,159126,-,pcnB,1398,pcnB-folK,"Translation, ribosomal structure and biogenesis"
b0144,159185,160112,-,gluQ,927,sfsA-dksA-gluQ,"Translation, ribosomal structure and biogenesis"
b0145,160148,160604,-,dksA,456,sfsA-dksA-gluQ,Signal transduction mechanisms
b0146,160781,161486,-,sfsA,705,sfsA-dksA-gluQ,Function unknown
b0147,161500,162031,-,ligT,531,thpR,"Translation, ribosomal structure and biogenesis"
b0148,162104,164534,+,hrpB,2430,hrpB,"Replication, recombination and repair"
b0149,164729,167264,+,mrcB,2535,mrcB,Cell wall/membrane/envelope biogenesis
b0150,167483,169727,+,fhuA,2244,fhuACDB,Inorganic ion transport and metabolism
b0151,169777,170575,+,fhuC,798,fhuACDB,Inorganic ion transport and metabolism
b0152,170574,171465,+,fhuD,891,fhuACDB,Inorganic ion transport and metabolism
b0153,171461,173444,+,fhuB,1983,fhuACDB,Inorganic ion transport and metabolism
b0154,173601,174882,-,hemL,1281,hemL,Coenzyme transport and metabolism
b0155,175106,176528,+,clcA,1422,clcA,Inorganic ion transport and metabolism
b0156,176609,176954,+,erpA,345,erpA,Function unknown
b0157,177000,177624,-,yadS,624,mtn-btuF-yadS,Function unknown
b0158,177661,178462,-,btuF,801,mtn-btuF-yadS,Inorganic ion transport and metabolism
b0159,178454,179153,-,mtn,699,mtn-btuF-yadS,Nucleotide transport and metabolism
b0160,179236,180754,+,dgt,1518,dgt,Nucleotide transport and metabolism
b0161,180883,182308,+,degP,1425,degP,"Posttranslational modification, protein turnover, chaperones"
b0162,182462,183620,+,cdaR,1158,cdaR,Transcription
b0163,183708,184095,-,yaeH,387,yaeH,Function unknown
b0164,184256,185069,-,yaeI,813,yaeI,Function unknown
b0166,185122,185947,-,dapD,825,map-glnD-dapD,Amino acid transport and metabolism
b0167,185977,188650,-,glnD,2673,map-glnD-dapD,"Posttranslational modification, protein turnover, chaperones"
b0168,188711,189506,-,map,795,map-glnD-dapD,"Translation, ribosomal structure and biogenesis"
b0169,189873,190599,+,rpsB,726,tff-rpsB-tsf,"Translation, ribosomal structure and biogenesis"
b0170,190856,191708,+,tsf,852,tff-rpsB-tsf,"Translation, ribosomal structure and biogenesis"
b0171,191854,192580,+,pyrH,726,pyrH,Nucleotide transport and metabolism
b0172,192871,193429,+,frr,558,frr,"Translation, ribosomal structure and biogenesis"
b0173,193520,194717,+,dxr,1197,dxr,Lipid transport and metabolism
b0174,194902,195664,+,ispU,762,ispU,Lipid transport and metabolism
b0175,195676,196534,+,cdsA,858,cdsA,Lipid transport and metabolism
b0176,196545,197898,+,rseP,1353,rseP,Cell wall/membrane/envelope biogenesis
b0177,197927,200360,+,bamA,2433,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis
b0178,200481,200967,+,skp,486,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis
b0179,200970,201996,+,lpxD,1026,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis
b0180,202100,202556,+,fabZ,456,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Lipid transport and metabolism
b0181,202559,203348,+,lpxA,789,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis
b0182,203347,204496,+,lpxB,1149,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis
b0183,204492,205089,+,rnhB,597,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,"Replication, recombination and repair"
b0184,205125,208608,+,dnaE,3483,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,"Replication, recombination and repair"
b0185,208620,209580,+,accA,960,accA,Lipid transport and metabolism
b0186,209678,211820,+,ldcC,2142,ldcC,Amino acid transport and metabolism
b0187,211876,212266,+,yaeR,390,yaeR,Amino acid transport and metabolism
b0188,212330,213629,+,tilS,1299,tilS,"Cell cycle control, cell division, chromosome partitioning"
b0189,213677,213932,-,rof,255,yaeP-rof,Transcription
b4406,213924,214125,-,yaeP,201,yaeP-rof,Function unknown
b0190,214290,214836,+,yaeQ,546,yaeQ-arfB-nlpE,Function unknown
b0191,214832,215255,+,arfB,423,yaeQ-arfB-nlpE,"Translation, ribosomal structure and biogenesis"
b0192,215268,215979,+,nlpE,711,yaeQ-arfB-nlpE,Cell wall/membrane/envelope biogenesis
b0193,216178,217003,-,yaeF,825,yaeF,Function unknown
b0194,217056,218775,-,proS,1719,proS,"Translation, ribosomal structure and biogenesis"
b0195,218886,219594,-,tsaA,708,rcsF-trmO,Function unknown
b0196,219590,219995,-,rcsF,405,rcsF-trmO,Cell wall/membrane/envelope biogenesis
b0197,220112,220928,-,metQ,816,metNIQ,Inorganic ion transport and metabolism
b0198,220967,221621,-,metI,654,metNIQ,Inorganic ion transport and metabolism
b0199,221613,222645,-,metN,1032,metNIQ,Inorganic ion transport and metabolism
b0200,222832,223408,+,gmhB,576,gmhB,Amino acid transport and metabolism
b0207,229166,229970,+,dkgB,804,dkgB,Function unknown
b0208,229966,230881,-,yafC,915,yafC,Transcription
b0209,231121,231922,+,yafD,801,yafDE,Function unknown
b0210,231925,232549,+,yafE,624,yafDE,"Secondary metabolites biosynthesis, transport and catabolism"
b0211,232596,233955,-,mltD,1359,mltD,Cell wall/membrane/envelope biogenesis
b0212,234026,234782,-,gloB,756,gloB,Function unknown
b0213,234815,235538,+,yafS,723,yafS,"Secondary metabolites biosynthesis, transport and catabolism"
b0214,235534,236002,-,rnhA,468,rnhA,"Replication, recombination and repair"
b0215,236066,236798,+,dnaQ,732,dnaQ,"Replication, recombination and repair"
b0217,237334,238120,+,yafT,786,yafT,Function unknown
b4586,238256,238736,-,ykfM,480,ykfM,No COG Annotation
b0218,238745,239102,-,yafU,357,yafU,No COG Annotation
b4503,239105,239378,+,yafF,273,yafF,No COG Annotation
b0219,239418,240189,-,yafV,771,yafV,Function unknown
b0220,240342,240816,+,ivy,474,ivy,Function unknown
b0221,240858,243303,-,fadE,2445,fadE,Lipid transport and metabolism
b0222,243542,244121,+,gmhA,579,lpcA,Carbohydrate transport and metabolism
b0223,244326,245094,+,yafJ,768,yafJ,Function unknown
b0224,245064,245805,-,yafK,741,yafK,Function unknown
b0225,245960,246239,-,yafQ,279,dinJ-yafQ,Function unknown
b0226,246241,246502,-,dinJ,261,dinJ-yafQ,"Replication, recombination and repair"
b0227,246711,247461,+,yafL,750,yafL,Cell wall/membrane/envelope biogenesis
b0228,247636,248134,+,rayT,498,rayT,"Replication, recombination and repair"
b0229,248357,250070,-,lfhA,1713,lfhA,No COG Annotation
b0230,250071,250827,+,lafU,756,lafU,No COG Annotation
b0231,250897,251953,+,dinB,1056,dinB-yafNOP,"Replication, recombination and repair"
b0232,252004,252298,+,yafN,294,dinB-yafNOP,"Cell cycle control, cell division, chromosome partitioning"
b0233,252300,252699,+,yafO,399,dinB-yafNOP,"Translation, ribosomal structure and biogenesis"
b0234,252708,253161,+,yafP,453,dinB-yafNOP,Transcription
b0235,253478,253685,+,ykfJ,207,ykfJ-prfH,No COG Annotation
b0236,253701,254202,+,prfH,501,ykfJ-prfH,No COG Annotation
b0237,254258,255716,-,pepD,1458,pepD,Amino acid transport and metabolism
b0238,255976,256435,+,gpt,459,gpt,Nucleotide transport and metabolism
b0239,256526,257771,+,frsA,1245,frsA,Function unknown
b0240_1,257828,257899,+,crl_1,71,crl_1,Transcription
b0240_2,258675,259006,+,crl_2,331,crl_1,Transcription
b0241,259044,260100,-,phoE,1056,phoE,Cell wall/membrane/envelope biogenesis
b0242,260387,261491,+,proB,1104,proBA,Amino acid transport and metabolism
b0243,261502,262756,+,proA,1254,proBA,Amino acid transport and metabolism
b4626,263149,263212,-,ykfN,63,ykfN,No COG Annotation
b0245,263327,263669,-,ykfI,342,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,Function unknown
b0246,263689,264007,-,yafW,318,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,No COG Annotation
b4504,264025,264247,-,ykfH,222,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,Function unknown
b0247,264255,264732,-,ykfG,477,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,"Replication, recombination and repair"
b0248,264747,265206,-,yafX,459,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,Function unknown
b0249,265303,265543,-,ykfF,240,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,Function unknown
b0250,265619,266087,-,ykfB,468,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,Function unknown
b0251,266109,266553,-,yafY,444,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,Transcription
b4627,266552,266774,-,ykfL,222,ykfL,No COG Annotation
b4628,266775,266967,-,ykfK,192,ykfK,No COG Annotation
b0252,267183,268005,-,yafZ,822,ykfA-yafZ,Function unknown
b0253,268096,268960,-,ykfA,864,ykfA-yafZ,Function unknown
b0254,269288,270182,-,perR,894,perR,Transcription
b4587_1,270277,270535,+,insN_1,258,insN_1,No COG Annotation
b0256,270602,271754,+,insI1,1152,insN-1I-1O-1,"Replication, recombination and repair"
b4587_2,271763,272189,+,insN_2,426,insN_2,No COG Annotation
b0258,272846,273954,+,ykfC,1108,ykfC,No COG Annotation
b0259,274100,275117,-,insH1,1017,insH-1,"Replication, recombination and repair"
b0260,275324,276728,+,mmuP,1404,mmuPM,Amino acid transport and metabolism
b0261,276714,277647,+,mmuM,933,mmuPM,Amino acid transport and metabolism
b0262,277755,278802,-,afuC,1047,insAB-2A-2B-2-afuBC,Amino acid transport and metabolism
b0263,278813,279161,-,afuB,348,insAB-2A-2B-2-afuBC,No COG Annotation
b0264,279177,279681,-,insB1,504,insAB-2A-2B-2-afuBC,"Replication, recombination and repair"
b0265,279599,279875,-,insA,276,insAB-2A-2B-2-afuBC,"Replication, recombination and repair"
b4708,279930,280104,+,insI1,174,insI1,No COG Annotation
b4505,280113,280362,-,insX,249,yagAB-insX,No COG Annotation
b0266,280426,280735,-,yagB,309,yagAB-insX,No COG Annotation
b0267,280828,281983,-,yagA,1155,yagAB-insX,"Replication, recombination and repair"
b0268,282277,283186,+,yagE,909,yagEF,Amino acid transport and metabolism
b0269,283200,285168,+,yagF,1968,yagEF,Amino acid transport and metabolism
b0270,285394,286777,+,yagG,1383,yagGH,Carbohydrate transport and metabolism
b0271,286788,288399,+,yagH,1611,yagGH,Carbohydrate transport and metabolism
b0272,288403,289162,-,yagI,759,xynR,Transcription
b0273,289300,290305,-,argF,1005,argF,Amino acid transport and metabolism
b4688,290428,290633,+,ykgS,205,ykgS,No COG Annotation
b0274,290648,291152,-,insB1,504,insAB-3A-3B-3,"Replication, recombination and repair"
b0275,291070,291346,-,insA,276,insAB-3A-3B-3,"Replication, recombination and repair"
b0276,291403,292231,+,yagJ,828,yagJ,No COG Annotation
b0277,292321,292948,-,yagK,627,yagK,Function unknown
b0278,293219,293918,-,yagL,699,yagML,"Replication, recombination and repair"
b0279,293944,294799,-,yagM,855,yagML,Function unknown
b0280,295138,295579,-,yagN,441,yagN,Function unknown
b0281,295695,297096,-,intF,1401,intF,"Replication, recombination and repair"
b4694,297380,297719,-,yagP,339,yagP,No COG Annotation
b4695,297713,297791,-,ykgT,78,yagP,No COG Annotation
b0283,297769,298726,-,paoD,957,paoABCD,"Posttranslational modification, protein turnover, chaperones"
b0284,298735,300934,-,paoC,2199,paoABCD,Energy production and conversion
b0285,300930,301887,-,paoB,957,paoABCD,Energy production and conversion
b0286,301883,302573,-,paoA,690,paoABCD,Energy production and conversion
b0287,302990,303605,+,yagU,615,yagU,Function unknown
b0288,303852,304182,-,ykgJ,330,ykgJ,Function unknown
b0289,304494,305205,-,ecpE,711,ecpBCDE,Function unknown
b0290,305173,306817,-,ecpD,1644,ecpBCDE,Function unknown
b0291,306806,309332,-,ecpC,2526,ecpBCDE,Function unknown
b0292,309357,310026,-,ecpB,669,ecpBCDE,Function unknown
b0293,310083,310671,-,ecpA,588,ecpA,Function unknown
b0294,310745,311336,-,ecpR,591,ecpR,Transcription
b0295,312111,312339,+,ykgL,228,ykgL,No COG Annotation
b4506,312373,312514,-,ykgO,141,ykgMO,"Translation, ribosomal structure and biogenesis"
b0296,312513,312777,-,ykgM,264,ykgMO,"Translation, ribosomal structure and biogenesis"
b4671,313140,313242,-,ykgR,102,ykgR,No COG Annotation
b4630,313715,313805,-,ykgP,90,ykgP,No COG Annotation
b0297,314356,315228,+,eaeH,872,eaeH-insE-1EF-1F-1,No COG Annotation
b0298,315290,315590,+,insE1,300,eaeH-insE-1EF-1F-1,"Replication, recombination and repair"
b0299,315586,316453,+,insF1,867,eaeH-insE-1EF-1F-1,"Replication, recombination and repair"
b0300,316485,317169,-,ykgA,684,ykgA,No COG Annotation
b4631,317438,317567,+,ykgQ,129,ykgQ,No COG Annotation
b0301,317725,318319,-,rclC,594,rclABC,Function unknown
b0303,318330,318567,-,rclB,237,rclABC,Function unknown
b0304,318675,320001,-,rclA,1326,rclABC,Energy production and conversion
b0305,320226,321081,+,rclR,855,rclR,Transcription
b0306,321607,322327,+,ykgE,720,ykgEFG,Energy production and conversion
b0307,322337,323765,+,ykgF,1428,ykgEFG,Energy production and conversion
b0308,323757,324453,+,ykgG,696,ykgEFG,Function unknown
b0310,324695,325364,-,ykgH,669,ykgH,No COG Annotation
b0311,325576,327247,-,betA,1671,betIBA,Amino acid transport and metabolism
b0312,327260,328733,-,betB,1473,betIBA,Energy production and conversion
b0313,328746,329334,-,betI,588,betIBA,Transcription
b0314,329462,331496,+,betT,2034,betT,Inorganic ion transport and metabolism
b0315,332370,333459,+,yahA,1089,pdeL,Signal transduction mechanisms
b0316,333500,334433,-,yahB,933,yahB,Transcription
b0317,334524,335022,-,yahC,498,yahC,Function unknown
b0318,335279,335885,+,yahD,606,yahDEFG,Function unknown
b0319,335924,336788,+,yahE,864,yahDEFG,Function unknown
b0320,336777,338325,+,yahF,1548,yahDEFG,Energy production and conversion
b0321,338324,339743,+,yahG,1419,yahDEFG,Function unknown
b0323,340164,341115,+,yahI,951,yahIJ,Amino acid transport and metabolism
b0324,341124,342507,+,yahJ,1383,yahIJ,Nucleotide transport and metabolism
b0325,342883,343933,+,yahK,1050,yahK,Energy production and conversion
b0326,344175,344991,+,yahL,816,yahL,No COG Annotation
b0327,345403,345649,+,yahM,246,yahM,No COG Annotation
b0328,345665,346337,-,yahN,672,yahN,Amino acid transport and metabolism
b0329,346483,346759,+,yahO,276,yahO,Function unknown
b0330,346856,348443,-,prpR,1587,prpR,Transcription
b0331,348681,349572,+,prpB,891,prpBCDE,Carbohydrate transport and metabolism
b0333,350011,351181,+,prpC,1170,prpBCDE,Energy production and conversion
b0334,351214,352666,+,prpD,1452,prpBCDE,Function unknown
b0335,352705,354592,+,prpE,1887,prpBCDE,Lipid transport and metabolism
b0336,354921,356181,+,codB,1260,codBA,Nucleotide transport and metabolism
b0337,356170,357454,+,codA,1284,codBA,Nucleotide transport and metabolism
b0338,357790,358690,-,cynR,900,cynR,Transcription
b0339,358798,359458,+,cynT,660,cynTSX,Inorganic ion transport and metabolism
